"Suppliers","Fournisseurs"
"Purchase orders","Commandes fournisseurs"
"Purchase Orders","Commandes Fournisseurs"
"Opened Purchase Orders","Réceptions prévues"
"Supplier","Fournisseur"
"ETA","Date prévue"
"Qty","Qte"
"Order #","Commande"
"PO #","Commande"
"Buying price","Prix d'achat"
"Buying price with costs","Coût complet"
"Associated","Associé"
"Supplier sku","Sku fournisseur"
"Is Primary","Principal?"
"Supplier Stock","Stock fournisseur"
"Suppliers management","Fournisseurs"
"Products in transit","Produits en attente de réception"
"Supply Needs","Besoins d'approvisionnement"
"Product / Supplier association","Associations produits fournisseurs"
"Manager","Responsable"
"Delivery progress","% reçu"
"Grand total","Total"
"Invoice Status","Facturation"
"Create new Purchase Order","Nouvelle commande fournisseur"
"Undefined","Indéfini"
"To pay","A payer"
"Draft","Brouillon"
"draft","Brouillon"
"Pending internal approval","A valider"
"Pending supplier confirmation","A confirmer par le fournisseur"
"Expected","Attendue"
"New Purchase Order","Nouvelle commande fournisseur"
"Please select the supplier for this new purchase order: ","Sélectioner le fournisseur: "
"This order total is below the supplier minimum of order (%1).","Cette commande ne satisfait pas le minimum de commande (%1)"
"This order total is below the supplier carrier free (%1).","Cette commande n'atteint pas les franco de port (%1)"
"Estimated time of arrival","Date prévue de réception"
"To create the new purchase order, fill the estimated time of arrival and save, then you will be able to add products.","Pour enregistrer votre nouvelle commande, saisissez la date prévue de réception et enregistrez"
"Created at","Date de création"
"Updated at","Date de mise à jour"
"Warehouse for receiving","Dépôt de réception"
"Private Comments","Commentaires privés"
"Public Comments","Commentaires publiques"
"Displayed on PDF","Afficher sur le PDF envoyé au fournisseur"
"Miscellaneous","Divers"
"Change rate","Taux de change"
"Shipping cost","Frais de port"
"Additional cost","Frais additionnels"
"Tax rate %","% de taxe"
"Shipping method","Méthode d'expédition"
"Tracking #","No de suivi"
"Accounting","Financier"
"Supplier PO #","No de commande fournisseur"
"Supplier Invoice #","No de facture fournisseur"
"Invoice date","Date de la facture"
"Payment date","Date de paiement"
"You saved the order.","Modifications enregistrées"
"Notify","Notifier"
"Receive","Réceptionner"
"Edit Purchase Order %1 for %2 (%3)","Edition commande fournisseur %1 de %2 (%3)"
"Update product costs","Mettre à jour les coûts"
"Products received","Produits reçus"
"Supplier Sku","Sku fournisseur"
"Qty Received","Qté reçue"
"Buying price (%1)","Prix d'achat (%1)"
"Receive Purchase Order %1","Réception commande %1"
"Qty expected","Qte attendue"
"Related PO","Commandes fournisseur"
"Qty for backorders","Qte pour comm. en rupture"
"Qty for low stock","Qte pour stock bas"
"Suggested Qty to order","Qte suggérée à acheter"
"Waiting for reception","En attente de réception"
"Fill with min qty","Remplir avec qte mini"
"Fill with max qty","Remplir avec qte maxi"
"Create a new Purchase Order","Créer une commande fournisseur"
"Order created.","Commande créée"
"Opened PO","Commandes en attente"
"Add New Supplier","Nouveau fournisseur"
"New Supplier","Nouveau fournisseur"
"Supplier Information","Informations fournisseur"
"Minimum of order","Minimum de commande"
"Carriage Free Amount","Franco de port"
"Shipping delay","Délai de livraison"
"Payment terms","Conditions de paiement"
"Shipping instructions","Instructions de livraison"
"Aftersales","Après vente"
"Save Supplier","Enregistrer"
"You saved the supplier.","Modifications enregistrées"
"Edit Supplier '%1'","Edition fournisseur %1"
"Delete Supplier","Supprimer"
"You deleted the supplier.","Fournisseur supprimé"
"Import suppliers","Import fournisseurs"
"Import file","Importer"
"Associate to supplier","Associer au fournisseur"
"Mass edit","Edition en masse"
"Purchase Order Product","Produits des commandes fournisseurs"
"Default buying price","Prix d'achat par défaut"
"Landing costs distribution","Répartition des frais d'approche"
"Update product cost","Mettre à jour le coût produit"
"Require product/supplier association","Réquérir l'association produit / fournisseur"
"Enable custom ETA at product level","Activer la date de livraison au niveau produit"
"Billing address","Adresse de facturation"
"Ship to address","Adresse de livraison"
"Purchase order","Commande fournisseur"
"Email Sender for supplier notification","Expéditeur"
"Email template for supplier notification","Template"
"Procurement","Approvisionnement"
"This order has MOQ issue, please check product list for more details.","Certains produits n'atteignent pas le MOQ, veuillez consulter la liste des produits pour plus de détails"
"Supply delay","Délai d'approvisionnement"
"Settings","Réglages"
"Supplier Invoices","Factures fournisseurs"
"Subtotal (%1)","Sous total (%1)"
"Discount %","Remise %"
"Enable discount","Activer les remises"
"Show margin column","Afficher les marges"
"Margins","Marges"
"Disable logs","Désactiver les logs"
"Shelf location attribute","Attribut emplacement"
"Manufacturer attribute","Attribut fabricant"
"Enable pack quantity","Activer la gestion des packs"
"Supplier Sku","Ref four."
"Location","Emplacement"
"Supplier: %1","Fournisseur: %1"
"Purchase order: %1","Commande fournisseur: %1"
"Reception date: %1","Date de réception: %1"
"Received by: %1","Réceptionnée par: %1"
"Products count: %1","Nombre de produits: %1"
"Assign new barcode to product","Associer un code-barres à un produit"
"Barcode to assign","Code-barres à assigner"
"Assign","Assigner"
"Total invoiced","Total facturé"
"Missing prices","Prix manquants"
"Associate to a supplier","Associer un fournisseur"
"Associated supplier(s)","Fournisseurs associés"
"MOQ","Qté min"
"Supplier SKU","Sku fournisseur"
"Last buying price","Dernier prix d'achat"
"Show last buying price","Afficher le dernier prix d'achat"
"Currency","Devise"
"No supplier available for association","Aucun fournisseur à associer"
"Qty Ordered","Qté"
"Select store to use custom settings for PDF","Store pour personnaliser le PDF"
"Use expected status to update supply needs and products in transit. Expected status informs that this PO will be received.","Seul le statut attendue met à jour les besoins d'approvisionnement et produits en attente de réception. Utiliser ce statut quand vous savez que la commande sera expédiée"
"Stock details","Stocks"
"Restrict list to associated products","Limiter les produits à ceux associés au fournisseur"
"Product / Supplier","Produit / Fournisseur"
"Pack qty","Qté du pack"
"Supplier Payments","Paiements fournisseurs"
"Payment method","Méthode"
"Payment amount","Montant"
"Supplier invoice #","Facture four."
"Qty to receive","Qté à recevoir"
"Create a new Purchase Order","Créer une nouvelle commande"
"Add Products","Ajouter des produits"
"New Supplier Invoice","Nouvelle facture fournisseur"
"Balance due","Montant dû"
"Total to apply","Montant à appliquer"
"Attachment","Pièce jointe"
"Supplier Invoice %1 for %2","Facture fournisseur %1 pour %2"
"Link order","Associer une commande"
"Related orders","Commandes associées"
"Supplier reference","Ref fournisseur"
"Amount applied","Montant appliqué"
"Add payment","Ajouter une paiement"
"Warning, this invoice is not totally applied.","Cette facture n'est pas totalement appliquée"
"You saved the invoice.","Modifications enregistrées"
"There is no purchase order exist for this supplier.","Aucune commande à associer"
"Total paid","Total payé"
"Total Applied to this PO","Montant appliqué à cette commande"
"Fill all quantities","Remplir toutes les quantités"
"Products left to receive","Produits à recevoir"
"Products over received","Sur réceptions"
"Qty ordered","Commandé"
"Qty received","Reçu"
"Qty pending","Restant"
"Global discount %","Remise globale %"
"Applies on subtotal before taxes","S'applique au sous total avant les taxes"
"Shipping & additional","Transport"
"Estimated delivery : %1","Date de réception attendue : %1"
"Payment terms : %1","Condition de paiement : %1"
"Supplier order # : %1","Référence fournisseur : %1"
"Manager : %1","Responsable : %1"
"Supplier : %1","Fournisseur : %1"
"Purchase Order # %1","Commande fournisseur %1"
